benchmark,topology,pinning,source,allocator,instance_id,interop_threads,intraop_threads,batch_size,throughput
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,1,1,13.853951735573125
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,2,1,26.395425444703637
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,3,1,37.58353189424389
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,4,1,49.08530698666628
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,5,1,57.58570546617109
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,6,1,66.85871838004155
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,7,1,74.14290895464597
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,8,1,83.0355992280634
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,9,1,77.33291753174204
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,10,1,82.70188329658785
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,11,1,88.63738295408434
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,12,1,92.57229414574678
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,13,1,90.70920180290075
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,14,1,94.25936204003219
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,15,1,95.47521685022086
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,16,1,101.89545030175951
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,1,2,14.550763339076692
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,2,2,28.482700398365143
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,3,2,41.164658256396756
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,4,2,54.22353928106327
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,5,2,64.33965291899979
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,6,2,75.85834051752646
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,7,2,86.2393229088612
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,8,2,97.04701452619966
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,9,2,97.42517276042646
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,10,2,103.14779631874481
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,11,2,110.30487111463464
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,12,2,120.08947004195322
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,13,2,117.1812665977854
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,14,2,123.46539543306713
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,15,2,125.8668540706629
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,16,2,133.5351113854505
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,1,4,14.784963003081568
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,2,4,29.263411673635314
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,3,4,43.136200319099665
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,4,4,57.46993173423906
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,5,4,69.36968339981725
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,6,4,81.94559356663295
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,7,4,93.09367665554112
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,8,4,106.83044603039457
