benchmark,topology,pinning,source,allocator,instance_id,interop_threads,intraop_threads,batch_size,latency(min),latency(avg),latency(max),flops
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,1,1,71.85501599997224,72.18157093995615,72.60953599961795,110.00762218939903
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,2,1,37.74891299963201,37.88535260001481,38.15779599972302,0.0
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,3,1,26.50982799968915,26.60739822999858,26.953042000059213,0.0
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,4,1,20.30507099971146,20.372695239975656,20.837121000113257,0.0
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,5,1,17.278053000154614,17.365420670021194,17.546884000694263,0.0
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,6,1,14.891133000674017,14.956912489942624,15.202847000182373,0.0
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,7,1,13.41343100011727,13.487466490041697,13.72690700009116,0.0
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,8,1,11.93230099943321,12.043027439995058,12.369305999527569,0.0
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,9,1,12.884067999948456,12.931104010003764,13.070312000309059,0.0
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,10,1,12.029966000227432,12.091623069982234,12.249419999534439,0.0
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,11,1,11.234057000365283,11.281921540012263,11.463337000350293,0.0
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,12,1,10.686915999940538,10.80236812998919,11.047049999433511,0.0
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,13,1,10.954960000162828,11.024239880016466,11.149304000355187,0.0
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,14,1,10.525412000788492,10.609025759958968,10.821930000020075,0.0
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,15,1,10.375922999628528,10.473922269993636,10.66012600040267,0.0
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,16,1,9.71660699997301,9.813980869985244,9.993203000703943,0.0
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,1,2,137.07306100059213,137.44983361999402,137.8892579996318,115.54080227485902
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,2,2,70.00897699981579,70.21806121005284,70.54823900034535,0.0
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,3,2,48.444052999911946,48.58536629996706,48.843317000319075,0.0
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,4,2,36.762265999641386,36.88434998005505,37.13709499970719,0.0
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,5,2,30.96632300002966,31.085029360010594,31.402556000102777,0.0
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,6,2,26.276129000507353,26.36493214003167,26.581412000268756,0.0
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,7,2,23.092659000212734,23.191276699999435,23.481979000280262,0.0
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,8,2,20.416504999957397,20.608568019988525,21.026758000516566,0.0
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,9,2,20.442366000679613,20.528575350008396,20.71253899976,0.0
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,10,2,19.308391999402374,19.389653210037068,19.68087099976401,0.0
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,11,2,18.062973999803944,18.13156554003399,18.35582900002919,0.0
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,12,2,16.4811490003558,16.654249529965455,16.96132500001113,0.0
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,13,2,16.851825000230747,17.06757451995145,17.240619999938644,0.0
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,14,2,16.11069699993095,16.198870889975296,16.40126300026168,0.0
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,15,2,15.708367000115686,15.88980685000024,16.2171820002186,0.0
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,16,2,14.751437000086298,14.977334269988205,16.359856999770273,0.0
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,1,4,270.085387999643,270.5451477400584,271.06494400049996,117.40047220332063
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,2,4,136.37024400031805,136.68946206992587,137.03005499974097,0.0
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,3,4,92.45045899933757,92.72953970006711,93.22119100033888,0.0
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,4,4,69.42458799949236,69.60161390999019,69.98478100013017,0.0
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,5,4,57.467237999844656,57.66207663001296,58.01718400016398,0.0
